Preset Table Format
Number of programs = 15
Number of parameters = 30

Parameter	Type	User	Calliope	Drum	Accordian	Guitar	Harpsicord	Organ	Trumpet	Xylophone	Flute	User 1	User 2	User 3	User 4	User 5	
V1 Fine	Float	0.417323	0.000000	0.385827	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.417323	0.251969	0.000000	0.000000	0.000000
V1 Coarse	Float	0.236220	0.000000	0.511811	0.866142	0.000000	0.007874	0.070866	0.007874	0.000000	0.000000	0.236220	1.000000	0.000000	0.000000	0.000000
V1 Ring Fine	Float	0.944882	0.456693	0.472441	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.944882	0.787402	0.000000	0.000000	0.000000
V1 Ring Coarse	Float	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
V1 Ring Mod	Float	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	1.000000	0.000000	0.000000	0.000000
V1 Saw	Float	1.000000	0.000000	0.000000	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000
V1 Noise	Float	0.000000	0.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
V1 TRI	Float	1.000000	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	1.000000	1.000000	1.000000	0.000000	0.000000	0.000000
V1 Square	Float	1.000000	0.000000	0.000000	0.000000	0.000000	1.000000	1.000000	1.000000	0.000000	0.000000	1.000000	1.000000	0.000000	0.000000	0.000000
V1  Sync	Float	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.000000	1.000000	0.000000	0.000000	0.000000
V1 Pitch Envelope Attack	Float	0.314961	0.000000	0.000000	0.761659	0.000000	0.000000	0.000000	0.504039	0.000000	0.571245	0.318288	0.141732	0.000000	0.000000	0.000000
V1 Pitch Envelope Decay	Float	0.566929	0.000000	0.317609	0.000000	0.568659	0.568659	0.571245	0.571244	0.571244	0.257620	0.573917	0.795276	0.000000	0.000000	0.000000
V1 Pitch Envelope Release	Float	0.543307	0.000000	0.000000	0.000000	0.066344	0.000000	0.000000	0.067205	0.000000	0.000000	0.546634	0.409449	0.000000	0.000000	0.000000
V1 Pitch Envelope Sustain	Float	0.000000	1.000000	0.317609	0.758782	0.132687	0.000000	0.571244	0.257620	0.000000	0.257620	0.000000	0.456693	0.000000	0.000000	0.000000
On	Float	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
On	Float	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
On	Float	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
On	Float	1.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
On	Float	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
On	Float	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
On	Float	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
On	Float	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
YM LEVEL	Float	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
On	Float	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
On	Float	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
On	Float	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
YM LEVEL	Float	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
On	Float	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
MOD LEVEL	Float	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
SID LEVEL	Float	1.000000	1.000000	1.000000	1.000000	1.000000	0.970275	1.000000	0.970275	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
